unit_kind,key,status,issue_id,evidence_hash,protocol_version,last_run,last_commit
polity,TUR-1920-2025,fixed,,3b14e09b4f74aadd,,2026-06-23,
polity,MOR-1904-1956,fixed,,,,2026-06-23,
polity,FID-1887-1954,fixed,,1cbdc161e8247435,,2026-06-23,
match,Germany Western,fixed,western-fao-aggregate-not-a-polity,,,2026-07-02,
polity,CAP-1800-1910,fixed,,b1d0a68e41d22504,,2026-06-23,
polity,COD-1910-1960,fixed,,03d0da7e5fc03c03,,2026-06-23,
polity,SYR-1946-1967,fixed,,73762e49d4b9e259,,2026-06-23,
polity,RWB-1922-1962,fixed,,,,2026-06-23,
polity,AOF-1895-1960,fixed,,,,2026-06-23,
ingest,austria-iia-no-year,suppressed,austria-iia-no-year-data-error,,,2026-06-24,
ingest,brazil-iia-null-year,suppressed,brazil-iia-null-year-data-error,,,2026-06-24,
ingest,india-iia-null-year-rows,suppressed,india-iia-null-year-rows,,,2026-06-24,
match,serbia,fixed,,,,2026-07-02,
polity,ESP-1800-2025,correct,,ad48152d3006f454,,2026-06-24,
match,greece,correct,,,,2026-06-24,
polity,MEX-1848-2025,correct,,,,2026-06-24,
match,turkey,correct,,,,2026-06-24,
polity,PHL-1800-2025,correct,,663366ba711da6c0,,2026-06-24,
match,poland,correct,,,,2026-06-24,
polity,IDN-1889-1945,correct,,454eb9aa4ddfb380,,2026-06-24,
match,egypt,correct,,,,2026-06-24,
polity,URY-1828-2025,correct,,5d460fae51228410,,2026-06-24,
polity,MDG-1882-2025,correct,,1c28519df12b03cc,,2026-06-24,
match,czech republic,issue,,,,2026-06-24,
match,russian federation,issue,,,,2026-06-24,
match,united states of america,issue,,,,2026-06-24,
match,italy,issue,,,,2026-06-24,
match,japan,issue,,,,2026-06-24,
match,bulgaria,issue,,,,2026-06-24,
match,france,issue,,,,2026-06-24,
match,australia,issue,,,,2026-06-24,
match,French Equat Africa,fixed,,,,2026-06-26,
match,romania,issue,,,,2026-06-24,
match,cyprus,issue,,,,2026-06-24,
match,algeria,issue,,,,2026-06-24,
match,hungary,issue,,,,2026-06-24,
match,viet nam,issue,,,,2026-06-24,
match,austria,issue,,,,2026-06-24,
match,south africa,fixed,,,,2026-07-02,
match,argentina,issue,,,,2026-06-24,
match,China 22 provinces,fixed,,,,2026-06-24,
match,Somalia,issue,,,,2026-07-02,
match,korea,issue,,,,2026-06-24,
match,somalia,unreviewed,,,,2026-06-26,
match,germany,issue,,,,2026-06-24,
match,belgium,issue,,,,2026-06-24,
match,Malaya Federation of,issue,,,,2026-06-24,
match,syrian arab republic,issue,,,,2026-06-24,
match,brazil,issue,,,,2026-06-24,
match,Zanzibar and Pemba,fixed,,,,2026-06-24,
match,south korea,issue,,,,2026-06-24,
match,canada,fixed,,,,2026-06-30,
match,"morocco (iso=mar, source=iia)",unreviewed,,,,2026-06-24,
match,Taiwan (TWN-1896-2025),unreviewed,,,,2026-06-24,
match,Chile (to 1899),fixed,,,,2026-06-24,
match,Anglo-Egypt Sudan,fixed,,,,2026-06-24,
match,South West Africa,fixed,,,,2026-06-24,
match,reunion,issue,,,,2026-06-24,
match,"china, mainland",issue,chn-1895-1913-groundnut-outlier-data-error,,,2026-06-29,
match,zimbabwe,issue,,,,2026-06-24,
match,india,issue,,,,2026-06-24,
match,Indochina Laos,fixed,,,,2026-06-24,
match,burundi,issue,,,,2026-06-24,
match,Ryukyu Islands,fixed,,,,2026-06-24,
match,peru,issue,,,,2026-06-24,
match,British Borneo North Borneo,fixed,,,,2026-06-24,
match,Japan,issue,,,,2026-06-24,
match,United Kingdom dependent territories,correct,,04ca7e31fb253f94,,2026-07-02,
match,burkina faso (Upper Volta colony 1922-1932),unreviewed,,,,2026-06-25,
match,British Borneo Brunei,fixed,,,,2026-06-25,
match,papua new guinea (iso: png),fixed,,,,2026-06-25,
match,French Oceania,fixed,,,,2026-06-25,
match,USSR,fixed,,,,2026-06-25,
match,British West Indies Trinidad and Tobago,fixed,,,,2026-06-25,
match,French Guiana,fixed,,,,2026-06-25,
match,Guam,fixed,,,,2026-06-26,
